horario,pressao,geracao,vazao
"08/02/2023 17:28:02",156,16,24358
"08/02/2023 17:28:02",185,16,24358
"08/02/2023 17:28:02",172,17,24358
"08/02/2023 17:28:02",183,8,24358
"08/02/2023 17:28:02",181,4,24358
"08/02/2023 17:28:02",159,7,24358
"08/02/2023 17:28:02",189,9,24358
"08/02/2023 17:28:02",190,1,24358
"08/02/2023 17:28:02",171,5,24358
"08/02/2023 17:28:03",168,4,24358
"08/02/2023 17:28:03",167,3,24358
"08/02/2023 17:28:03",160,16,24358
"08/02/2023 17:28:03",186,4,24358
"08/02/2023 17:28:03",151,7,24358
"08/02/2023 17:28:03",165,8,24358
"08/02/2023 17:28:03",169,10,24358
"08/02/2023 17:28:03",152,6,24358
"08/02/2023 17:28:03",174,9,24358
"08/02/2023 17:28:03",157,6,24358
"08/02/2023 17:28:04",173,22,24358
"08/02/2023 17:28:04",171,6,24358
"08/02/2023 17:28:04",153,20,24358
"08/02/2023 17:28:04",173,0,24358
"08/02/2023 17:28:04",155,19,24358
"08/02/2023 17:28:04",186,18,24358
"08/02/2023 17:28:04",166,6,24358
"08/02/2023 17:28:04",167,2,24358
"08/02/2023 17:28:04",154,10,24358
"08/02/2023 17:28:04",184,1,24358
"08/02/2023 17:28:05",153,23,24358
"08/02/2023 17:28:05",159,9,24358
"08/02/2023 17:28:05",151,21,24358
"08/02/2023 17:28:05",190,19,24358
"08/02/2023 17:28:05",167,24,24358
"08/02/2023 17:28:05",186,9,24358
"08/02/2023 17:28:05",159,3,24358
"08/02/2023 17:28:05",170,5,24358
"08/02/2023 17:28:05",159,21,24358
"08/02/2023 17:28:05",182,22,24358
"08/02/2023 17:28:06",169,7,24358
"08/02/2023 17:28:06",187,7,24358
"08/02/2023 17:28:06",159,7,24358
"08/02/2023 17:28:06",158,19,24358
"08/02/2023 17:28:06",152,23,24358
"08/02/2023 17:28:06",137,2,24358
"08/02/2023 17:28:06",158,5,24358
"08/02/2023 17:28:06",154,6,24358
"08/02/2023 17:28:06",157,21,24358
"08/02/2023 17:28:06",184,0,24358
"08/02/2023 17:28:07",155,18,24358
"08/02/2023 17:28:07",168,8,24358
"08/02/2023 17:28:07",157,8,24358
"08/02/2023 17:28:07",152,18,24358
"08/02/2023 17:28:07",157,8,24358
"08/02/2023 17:28:07",152,8,24358
"08/02/2023 17:28:07",159,21,24358
"08/02/2023 17:28:07",171,18,24358
"08/02/2023 17:28:07",173,9,24358
"08/02/2023 17:28:07",171,6,24358
"08/02/2023 17:28:08",170,7,24358
"08/02/2023 17:28:08",170,8,24358
"08/02/2023 17:28:08",171,4,24358
"08/02/2023 17:28:08",168,4,24358
"08/02/2023 17:28:08",200,7,24358
"08/02/2023 17:28:08",155,8,24358
"08/02/2023 17:28:08",171,10,24358
"08/02/2023 17:28:08",186,1,24358
"08/02/2023 17:28:08",171,18,24358
"08/02/2023 17:28:08",173,5,24358
"08/02/2023 17:28:09",152,24,24358
"08/02/2023 17:28:09",185,3,24358
"08/02/2023 17:28:09",183,22,24358
"08/02/2023 17:28:09",157,5,24358
"08/02/2023 17:28:09",156,19,24358
"08/02/2023 17:28:09",157,2,24358
"08/02/2023 17:28:09",174,19,24358
"08/02/2023 17:28:09",172,19,24358
"08/02/2023 17:28:09",152,4,24358
"08/02/2023 17:28:09",155,8,24358
"08/02/2023 17:28:10",137,8,24358
"08/02/2023 17:28:10",169,21,24358
"08/02/2023 17:28:10",170,0,24358
"08/02/2023 17:28:10",184,18,24358
"08/02/2023 17:28:10",182,17,24358
"08/02/2023 17:28:10",141,16,24358
"08/02/2023 17:28:10",157,20,24358
"08/02/2023 17:28:10",154,6,24358
"08/02/2023 17:28:10",155,3,24358
"08/02/2023 17:28:10",184,17,24358
"08/02/2023 17:28:11",143,6,24358
"08/02/2023 17:28:11",159,20,24358
"08/02/2023 17:28:11",156,2,24358
"08/02/2023 17:28:11",138,18,24358
"08/02/2023 17:28:11",188,5,24358
"08/02/2023 17:28:11",172,9,24358
"08/02/2023 17:28:11",169,24,24358
"08/02/2023 17:28:11",173,18,24358
"08/02/2023 17:28:11",157,20,24358
"08/02/2023 17:28:11",153,18,24358
"08/02/2023 17:28:12",174,7,24358
"08/02/2023 17:28:12",142,6,24358
"08/02/2023 17:28:12",183,1,24358
"08/02/2023 17:28:12",175,20,24358
"08/02/2023 17:28:12",160,7,24358
"08/02/2023 17:28:12",188,21,24358
"08/02/2023 17:28:12",173,0,24358
"08/02/2023 17:28:12",168,8,24358
"08/02/2023 17:28:12",173,9,24358
"08/02/2023 17:28:12",174,16,24358
"08/02/2023 17:28:13",169,5,24358
"08/02/2023 17:28:13",183,17,24358
"08/02/2023 17:28:13",158,18,24358
"08/02/2023 17:28:13",141,8,24358
"08/02/2023 17:28:13",167,8,24358
"08/02/2023 17:28:13",167,6,24358
"08/02/2023 17:28:13",170,2,24358
"08/02/2023 17:28:13",168,5,24358
"08/02/2023 17:28:13",171,7,24358
"08/02/2023 17:28:13",171,22,24358
"08/02/2023 17:28:14",172,6,24358
"08/02/2023 17:28:14",173,4,24358
"08/02/2023 17:28:14",158,3,24358
"08/02/2023 17:28:14",152,1,24358
"08/02/2023 17:28:14",171,8,24358
"08/02/2023 17:28:14",170,10,24358
"08/02/2023 17:28:14",154,20,24358
"08/02/2023 17:28:14",155,22,24358
"08/02/2023 17:28:14",167,8,24358
"08/02/2023 17:28:14",171,7,24358
"08/02/2023 17:28:15",169,26,24358
"08/02/2023 17:28:15",167,9,24358
"08/02/2023 17:28:15",169,7,24358
"08/02/2023 17:28:15",173,21,24358
"08/02/2023 17:28:15",174,19,24358
"08/02/2023 17:28:15",187,8,24358
"08/02/2023 17:28:15",172,7,24358
"08/02/2023 17:28:15",170,6,24358
"08/02/2023 17:28:15",173,7,24358
"08/02/2023 17:28:15",187,26,24358
"08/02/2023 17:28:16",157,7,24358
"08/02/2023 17:28:16",139,6,24358
"08/02/2023 17:28:16",173,8,24358
"08/02/2023 17:28:16",168,0,24358
"08/02/2023 17:28:16",142,8,24358
"08/02/2023 17:28:16",200,6,24358
"08/02/2023 17:28:16",183,23,24358
"08/02/2023 17:28:16",155,8,24358
"08/02/2023 17:28:16",143,20,24358
"08/02/2023 17:28:16",158,9,24358
"08/02/2023 17:28:17",170,8,24358
"08/02/2023 17:28:17",168,2,24358
"08/02/2023 17:28:17",174,8,24358
"08/02/2023 17:28:17",168,9,24358
"08/02/2023 17:28:17",170,3,24358
"08/02/2023 17:28:17",157,26,24358
"08/02/2023 17:28:17",156,20,24358
"08/02/2023 17:28:17",184,7,24358
"08/02/2023 17:28:17",166,21,24358
"08/02/2023 17:28:17",153,5,24358
"08/02/2023 17:28:18",138,6,24358
"08/02/2023 17:28:18",155,7,24358
"08/02/2023 17:28:18",170,7,24358
"08/02/2023 17:28:18",158,21,24358
"08/02/2023 17:28:18",159,5,24358
"08/02/2023 17:28:18",159,21,24358
"08/02/2023 17:28:18",158,6,24358
"08/02/2023 17:28:18",170,5,24358
"08/02/2023 17:28:18",189,22,24358
"08/02/2023 17:28:18",183,3,24358
"08/02/2023 17:28:19",187,7,24358
"08/02/2023 17:28:19",143,2,24358
"08/02/2023 17:28:19",183,2,24358
"08/02/2023 17:28:19",172,20,24358
"08/02/2023 17:28:19",158,8,24358
"08/02/2023 17:28:19",149,21,24358
"08/02/2023 17:28:19",173,19,24358
"08/02/2023 17:28:19",184,5,24358
"08/02/2023 17:28:19",166,4,24358
"08/02/2023 17:28:19",136,4,24358
"08/02/2023 17:28:20",152,8,24358
"08/02/2023 17:28:20",174,20,24358
"08/02/2023 17:28:20",170,16,24358
"08/02/2023 17:28:20",169,2,24358
"08/02/2023 17:28:20",186,24,24358
"08/02/2023 17:28:20",174,19,24358
"08/02/2023 17:28:20",156,2,24358
"08/02/2023 17:28:20",174,9,24358
"08/02/2023 17:28:20",154,19,24358
"08/02/2023 17:28:20",157,7,24358
"08/02/2023 17:28:21",142,5,24358
"08/02/2023 17:28:21",171,3,24358
"08/02/2023 17:28:21",168,23,24358
"08/02/2023 17:28:21",157,18,24358
"08/02/2023 17:28:21",172,7,24358
"08/02/2023 17:28:21",187,19,24358
"08/02/2023 17:28:21",144,0,24358
"08/02/2023 17:28:21",151,19,24358
"08/02/2023 17:28:21",187,16,24358
"08/02/2023 17:28:21",184,0,24358
"08/02/2023 17:28:22",156,18,24358
"08/02/2023 17:28:22",175,3,24358
"08/02/2023 17:28:22",168,8,24358
"08/02/2023 17:28:22",183,22,24358
"08/02/2023 17:28:22",154,17,24358
"08/02/2023 17:28:22",155,7,24358
"08/02/2023 17:28:22",170,3,24358
"08/02/2023 17:28:22",136,7,24358
"08/02/2023 17:28:22",173,18,24358
"08/02/2023 17:28:22",169,6,24358
"08/02/2023 17:28:23",142,9,24358
"08/02/2023 17:28:23",175,2,24358
"08/02/2023 17:28:23",190,9,24358
"08/02/2023 17:28:23",185,19,24358
"08/02/2023 17:28:23",154,3,24358
"08/02/2023 17:28:23",169,9,24358
"08/02/2023 17:28:23",188,8,24358
"08/02/2023 17:28:23",153,0,24358
"08/02/2023 17:28:23",171,23,24358
"08/02/2023 17:28:23",176,6,24358
"08/02/2023 17:28:24",171,10,24358
"08/02/2023 17:28:24",172,4,24358
"08/02/2023 17:28:24",143,17,24358
"08/02/2023 17:28:24",182,4,24358
"08/02/2023 17:28:24",152,16,24358
"08/02/2023 17:28:24",167,10,24358
"08/02/2023 17:28:24",168,18,24358
"08/02/2023 17:28:24",172,20,24358
"08/02/2023 17:28:24",159,5,24358
"08/02/2023 17:28:24",169,23,24358
"08/02/2023 17:28:25",153,18,24358
"08/02/2023 17:28:25",158,8,24358
"08/02/2023 17:28:25",170,21,24358
"08/02/2023 17:28:25",174,5,24358
"08/02/2023 17:28:25",188,0,24358
"08/02/2023 17:28:25",168,9,24358
"08/02/2023 17:28:25",173,21,24358
"08/02/2023 17:28:25",169,18,24358
"08/02/2023 17:28:25",184,7,24358
"08/02/2023 17:28:25",160,6,24358
"08/02/2023 17:28:26",173,2,24358
"08/02/2023 17:28:26",168,19,24358
"08/02/2023 17:28:26",155,19,24358
"08/02/2023 17:28:26",156,4,24358
"08/02/2023 17:28:26",153,23,24358
"08/02/2023 17:28:26",170,16,24358
"08/02/2023 17:28:26",170,4,24358
"08/02/2023 17:28:26",172,18,24358
"08/02/2023 17:28:26",174,7,24358
"08/02/2023 17:28:26",185,4,24358
"08/02/2023 17:28:27",186,2,24358
"08/02/2023 17:28:27",167,20,24358
"08/02/2023 17:28:27",172,4,24358
"08/02/2023 17:28:27",170,3,24358
